순위,등락,곡,가수,앨범,발매일
1,1,꽃 길,BIGBANG,꽃 길,2018.03.13
2,1,Look,GOT7 (갓세븐),Eyes On You,2018.03.12
3,2,너 하나만 (Feat. 효린),GOT7 (갓세븐),Eyes On You,2018.03.12
4,1,Jenga (Feat. Gaeko),헤이즈(Heize),바람,2018.03.08
5,2,별이 빛나는 밤,마마무(Mamamoo),Yellow Flower,2018.03.07
6,7,망설이다,GOT7 (갓세븐),Eyes On You,2018.03.12
7,3,약속해요 (I.P.U.),Wanna One(워너원),약속해요 (I.P.U.) - Special Theme Track,2018.03.05
8,0,내가 더 나빠,헤이즈(Heize),바람,2018.03.08
9,3,그때 헤어지면 돼,로이킴,그때 헤어지면 돼,2018.02.12
10,4,True Love,김성규,1st Album `10 Stories`,2018.02.26
11,1,You,멜로망스(Melomance),투유 프로젝트 - 슈가맨2 Part 2,2018.01.22
12,196,The Reason,GOT7 (갓세븐),Eyes On You,2018.03.12
13,7,Havana (Feat. Young Thug),Camila Cabello,Camila,2018.01.12
14,196,우리,GOT7 (갓세븐),Eyes On You,2018.03.12
15,194,고마워,GOT7 (갓세븐),Eyes On You,2018.03.12
16,2,HandClap,Fitz & The Tantrums,Fitz and The Tantrums (Deluxe),2017.07.28
17,3,instagram,DEAN,instagram,2017.12.26
18,3,네가 없는 곳,양요섭,YANG YOSEOP 2ND MINI ALBUM `白`,2018.02.19
19,5,괜찮냐고 ,헤이즈(Heize),바람,2018.03.08
20,193,그날처럼,장덕철,그날처럼,2017.11.28
21,12,뿜뿜,모모랜드(MOMOLAND),GREAT!,2018.01.03
22,197,선물,멜로망스(Melomance),Moonlight,2017.07.10
23,8,Bad Boy,Red Velvet (레드벨벳),The Perfect Red Velvet - The 2nd Album Repackage,2018.01.29
24,197,밤이 되니까,펀치(Punch),밤이 되니까,2017.09.29
25,9,오늘밤도,펀치(Punch),오늘밤도,2018.02.06
26,196,Roller Coaster,청하,Offset,2018.01.17
27,5,너 없는 시간들,다비치,&10    ,2018.01.25
28,11,눈사람,정승환,그리고 봄,2018.02.19
29,195,갖고 싶어,Wanna One(워너원),1-1=0 (NOTHING WITHOUT YOU),2017.11.13
30,4,애쓰지 마요,박보람,애쓰지 마요,2018.02.13
31,12,My Way,이수(엠씨더맥스) ,돈꽃 OST Part 1,2017.11.11
32,193,머물러줘,김성규,1st Album `10 Stories`,2018.02.26
33,8,Heart Shaker,TWICE(트와이스),Merry & Happy,2017.12.11
34,5,다른사람을 사랑하고 있어,수지(SUZY),Faces of Love,2018.01.29
35,5,Love Yourself,Justin Bieber,Purpose,2015.11.14
36,5,별 바람 꽃 태양,마마무(Mamamoo),Yellow Flower,2018.03.07
37,9,후유증,민경훈,후유증,2018.02.17
38,6,My Blossom,소유(SOYOU),My Blossom,2018.03.12
39,245,"무제(無題) (Untitled, 2014)",G-DRAGON,권지용,2017.06.08
40,253,Closer (Feat. Halsey),The Chainsmokers,Collage EP,2016.11.05
41,8,물감,문문(MoonMoon),물감,2017.04.24
42,7,"All Falls Down (Feat. Noah Cyrus, Digit ..",Alan Walker,All Falls Down,2017.10.27
43,5,Action! (Feat. GRAY),DPR LIVE,Action!,2018.03.13
44,8,Faded,Alan Walker,Faded,2016.01.15
45,343,돌아오지마  (Feat. 용준형 of 비스트),헤이즈(Heize),돌아오지마,2016.04.14
46,9,Grapevine (포도주) (Feat. 박재범),Junoflo(주노플로),Only Human,2018.03.13
47,6,Thunder,Imagine Dragons,Evolve,2018.02.22
48,332,벚꽃 엔딩,버스커 버스커,버스커 버스커,2012.03.29
49,276,Love Letter (언약),2Shai,Love Letter,2003.09.08
50,410,겨울을 걷는다,윤딴딴,반오십,2014.02.14
51,8,사랑은 아프다,이승철,미스티 (JTBC 금토드라마) OST - Part 1,2018.02.17
52,296,Undercover (Feat. 윤미래),Junoflo(주노플로),Only Human,2018.03.13
53,354,또 다시 사랑,임창정,또 다시 사랑,2015.09.22
54,497,그녀를 찾아주세요,더 네임(The Name),This Is The Name,2007.12.03
55,719,꿈꾸는 마음으로,우주소녀,Dream your dream,2018.02.27
56,544,Revenue (Feat. Hash Swan),Junoflo(주노플로),Only Human,2018.03.13
57,448,Nobody (Feat. 타이거JK & 블랙나인),Junoflo(주노플로),Only Human,2018.03.13
58,466,우리집을 못 찾겠군요 (Feat. 볼빨간사춘기),매드 클라운(Mad Clown),우리집을 못 찾겠군요,2017.02.03
59,565,소주 한 잔,임창정,Bye,2003.06.05
60,513,친구라도 될걸 그랬어,거미,Like Them,2003.02.01
61,0,Love Letter,장덕철,투유 프로젝트 - 슈가맨2 Part 8,2018.03.12
62,584,How Long Will I Love You,Ellie Goulding,어바웃타임 (About Time) OST,2013.12.02
63,808,여수 밤바다,버스커 버스커,버스커 버스커,2012.03.29
64,771,파랑새,에이프릴(APRIL),에이프릴(APRIL) 5th Mini Album `The Blue`,2018.03.12
65,14,실례해도 될까요,장재인,LISTEN 020 실례해도 될까요,2018.03.09
66,0,미워요,정인,정인 From Andromeda,2010.03.11
67,5,Side To Side (Feat. Nicki Minaj),Ariana Grande,Dangerous Woman,2016.05.20
68,6,It was you,산이(San E),"라라(Live Again, Love Again) OST - Part 4",2018.03.06
69,518,Rockabye (Feat. Sean Paul & Anne-Marie),Clean Bandit,Rockabye,2016.10.21
70,519,하늘바라기 (Feat. 하림),정은지,Dream,2016.04.18
71,730,이럴거면 그러지말지 (Feat. Young K),백아연,이럴거면 그러지말지,2015.05.20
72,17,비가 오는 날엔,비스트(Beast),비가 오는 날엔,2011.05.12
73,0,심장이 없어,에이트(8Eight),The Golden Age,2009.03.10
74,557,How Long,Charlie Puth,If You Leave Me Now,2018.01.05
75,642,오랜만이야,임창정,Return To My World,2009.03.10
76,8,사랑 참 못됐다,손승연,대군 OST 二劃 (이획),2018.03.11
77,690,I`m Yours,Jason Mraz,I`m Yours: The Perfect Modern-Day Love Songs,2009.12.18
78,0,Real Ones,Junoflo(주노플로),Only Human,2018.03.13
79,0,기도 (I'll Be Your Man),비투비(BTOB),NEW MEN,2016.11.07
80,0,이별을 배웠어 (Always In My Heart),슬옹,이별을 배웠어 (Always In My Heart) - SM STATION,2016.11.04
81,863,Photograph,Ed Sheeran,X (Deluxe Edition),2014.06.24
82,0,첫사랑,버스커 버스커,버스커 버스커,2012.03.29
83,29,추억은 사랑을 닮아,박효신,The Breeze Of Sea,2007.01.29
84,11,way2gone,Junoflo(주노플로),Only Human,2018.03.13
85,0,원하고 바래요,태하 (모모랜드),크로스 OST Part 5,2018.03.13
86,1,멈출수 없는 그리움,제이세라(J-Cera),인형의 집 OST Part 1,2018.03.09
87,0,출발,김동률,Monologue,2008.01.25
88,889,그 남자 그 여자 (Feat. 장혜진),바이브,Re-Feel,2006.02.27
89,0,또 혼자라는 게,김채원(에이프릴),그남자 오수 OST Part 2,2018.03.13
90,0,날 사랑해요,정인,SR PROJECT VOL. 5,2018.03.13
91,0,PERFECT,이진솔(에이프릴),`키스 먼저 할까요?` OST Part 2,2018.03.06
92,0,사랑일까요 (Is it Love),루나 (LUNA),`키스 먼저 할까요?` OST Part 1,2018.02.20
93,0,FRIENDS,Marshmello,FRIENDS,2018.02.09
94,0,내꺼,초록픽하나,THE UNI+ B STEP 1,2018.01.14
95,0,바보상자스타 (Prod. By Minit) (Feat. 김승민),기리보이(Giriboy),졸업식,2017.12.20
96,0,"vv (Prod. By Coa White) (Feat. OLNL, 최엘 ..",기리보이(Giriboy),졸업식,2017.12.20
97,0,yougottheswag (Prod. By dnss),기리보이(Giriboy),졸업식,2017.12.20
98,0,히키코모리 (Prod. By GroovyRoom),기리보이(Giriboy),졸업식,2017.12.20
99,0,입씨름 (Prod. By Cosmicboy) (Feat. Sik-K),기리보이(Giriboy),졸업식,2017.12.20
100,0,wewantourmoneyback (Prod. By Lemac) (Fe ..,기리보이(Giriboy),졸업식,2017.12.20
