순위,등락,곡,가수,앨범,발매일
74,18,Revenue (Feat. Hash Swan),Junoflo(주노플로),Only Human,2018.03.13
75,8,추억은 사랑을 닮아,박효신,The Breeze Of Sea,2007.01.29
76,11,실례해도 될까요,장재인,LISTEN 020 실례해도 될까요,2018.03.09
77,447,I Miss You,소유(SOYOU),도깨비 OST Part 7,2016.12.31
78,832,Someone That Loves You,HONNE,Warm On A Cold Night (Deluxe),2016.07.22
79,21,우리집을 못 찾겠군요 (Feat. 볼빨간사춘기),매드 클라운(Mad Clown),우리집을 못 찾겠군요,2017.02.03
80,125,Make You Feel My Love,Adele,19,2008.01.27
81,7,그 남자 그 여자 (Feat. 장혜진),바이브,Re-Feel,2006.02.27
82,29,또 다시 사랑,임창정,또 다시 사랑,2015.09.22
83,11,비가 오는 날엔,비스트(Beast),비가 오는 날엔,2011.05.12
84,607,The Boots,구구단 (gugudan),Act.4 Cait Sith,2018.02.01
85,0,구르미 그린 달빛,거미,구르미 그린 달빛 (KBS2 월화드라마) OST - Part 3,2016.09.06
86,570,Call You Mine (Feat. Geologic of The Bl ..,Jeff Bernat,The Gentleman Approach,2012.05.22
87,16,이럴거면 그러지말지 (Feat. Young K),백아연,이럴거면 그러지말지,2015.05.20
88,627,그대가 나를 본다면,반하나,그대가 나를 본다면,2014.05.09
89,0,짙어져,멜로망스(Melomance),Yellow OST,2017.10.26
90,13,I`m Yours,Jason Mraz,I`m Yours: The Perfect Modern-Day Love Songs,2009.12.18
91,59,Everything Has Changed (Feat. Ed Sheera ..,Taylor Swift,Red (International Ver.),2013.05.14
92,26,미워요,정인,정인 From Andromeda,2010.03.11
93,18,오랜만이야,임창정,Return To My World,2009.03.10
94,18,사랑 참 못됐다,손승연,대군 OST 二劃 (이획),2018.03.11
95,0,La La La,위키미키(Weki Meki),Lucky,2018.02.21
96,715,"ONE SHOT, TWO SHOT",보아 (BoA),"ONE SHOT, TWO SHOT - The 1st Mini Album",2018.02.20
97,799,Let Me Out,뉴이스트 W,화유기 OST Part 1,2017.12.23
98,13,원하고 바래요,태하 (모모랜드),크로스 OST Part 5,2018.03.13
99,569,Who are you,샘김,도깨비 OST Part 6,2016.12.25
100,756,아모르 파티,김연자,아모르 파티,2013.07.23
