순위,등락,곡,가수,앨범,발매일
1,0,꽃 길,BIGBANG,꽃 길,2018.03.13
2,0,별이 빛나는 밤,마마무(Mamamoo),Yellow Flower,2018.03.07
3,0,Jenga (Feat. Gaeko),헤이즈(Heize),바람,2018.03.08
4,0,Look,GOT7 (갓세븐),Eyes On You,2018.03.12
5,1,내가 더 나빠,헤이즈(Heize),바람,2018.03.08
6,1,그때 헤어지면 돼,로이킴,그때 헤어지면 돼,2018.02.12
7,2,너 하나만 (Feat. 효린),GOT7 (갓세븐),Eyes On You,2018.03.12
8,0,약속해요 (I.P.U.),Wanna One(워너원),약속해요 (I.P.U.) - Special Theme Track,2018.03.05
9,7,사랑을 했다 (LOVE SCENARIO),iKON,Return,2018.01.25
10,4,괜찮냐고 ,헤이즈(Heize),바람,2018.03.08
11,1,HandClap,Fitz & The Tantrums,Fitz and The Tantrums (Deluxe),2017.07.28
12,3,You,멜로망스(Melomance),투유 프로젝트 - 슈가맨2 Part 2,2018.01.22
13,2,True Love,김성규,1st Album `10 Stories`,2018.02.26
14,2,망설이다,GOT7 (갓세븐),Eyes On You,2018.03.12
15,4,뿜뿜,모모랜드(MOMOLAND),GREAT!,2018.01.03
16,3,네가 없는 곳,양요섭,YANG YOSEOP 2ND MINI ALBUM `白`,2018.02.19
17,10,눈사람,정승환,그리고 봄,2018.02.19
18,12,My Blossom,소유(SOYOU),My Blossom,2018.03.12
19,10,잘 살길 바래 (With DAVII),헤이즈(Heize),바람,2018.03.08
20,6,instagram,DEAN,instagram,2017.12.26
21,0,애쓰지 마요,박보람,애쓰지 마요,2018.02.13
22,9,My Way,이수(엠씨더맥스) ,돈꽃 OST Part 1,2017.11.11
23,3,The Reason,GOT7 (갓세븐),Eyes On You,2018.03.12
24,14,MIANHAE,헤이즈(Heize),바람,2018.03.08
25,7,고마워,GOT7 (갓세븐),Eyes On You,2018.03.12
26,13,Roller Coaster,청하,Offset,2018.01.17
27,4,Havana (Feat. Young Thug),Camila Cabello,Camila,2018.01.12
28,6,Bad Boy,Red Velvet (레드벨벳),The Perfect Red Velvet - The 2nd Album Repackage,2018.01.29
29,327,선물,멜로망스(Melomance),Moonlight,2017.07.10
30,330,이 별,길구봉구,Star,2017.09.18
31,6,Grapevine (포도주) (Feat. 박재범),Junoflo(주노플로),Only Human,2018.03.13
32,15,우리,GOT7 (갓세븐),Eyes On You,2018.03.12
33,338,가을 안부,먼데이키즈(Monday Kiz),가을 안부,2017.10.14
34,334,눈 떠보니 이별이더라,포맨,REMEMBER ME,2017.10.24
35,12,후유증,민경훈,후유증,2018.02.17
36,3,비도 오고 그래서 (Feat. 신용재),헤이즈(Heize),/// (너 먹구름 비),2017.06.26
37,348,Shape of You,Ed Sheeran,÷ (Deluxe),2017.03.03
38,2,별 바람 꽃 태양,마마무(Mamamoo),Yellow Flower,2018.03.07
39,4,Action! (Feat. GRAY),DPR LIVE,Action!,2018.03.13
40,1,바람,헤이즈(Heize),바람,2018.03.08
41,17,갖고 싶어,Wanna One(워너원),1-1=0 (NOTHING WITHOUT YOU),2017.11.13
42,350,DNA,방탄소년단,LOVE YOURSELF 承 `Her`,2017.09.18
43,8,다른사람을 사랑하고 있어,수지(SUZY),Faces of Love,2018.01.29
44,358,널 너무 모르고,헤이즈(Heize),/// (너 먹구름 비),2017.06.26
45,15,Undercover (Feat. 윤미래),Junoflo(주노플로),Only Human,2018.03.13
46,12,머물러줘,김성규,1st Album `10 Stories`,2018.02.26
47,1,불장난,BLACKPINK,SQUARE TWO,2016.11.01
48,343,너였다면,정승환,또 오해영 OST Part 5,2016.05.31
49,7,추억 한 잔 (Feat. 하림),먼데이 키즈,추억 한 잔,2018.03.09
50,8,별,양요섭,YANG YOSEOP 2ND MINI ALBUM `白`,2018.02.19
51,6,Love Letter (언약),2Shai,Love Letter,2003.09.08
52,358,좋았을걸,헤이즈(Heize),슬기로운 감빵생활 OST Part 5,2017.12.14
53,333,끌림,김성규,1st Album `10 Stories`,2018.02.26
54,2,"All Falls Down (Feat. Noah Cyrus, Digit ..",Alan Walker,All Falls Down,2017.10.27
55,398,고무줄다리기 (Rubber Band),iKON,고무줄다리기 (Rubber Band),2018.03.05
56,368,고맙다,세븐틴,SEVENTEEN SPECIAL ALBUM `DIRECTOR`S CUT`,2018.02.05
57,5,Nobody (Feat. 타이거JK & 블랙나인),Junoflo(주노플로),Only Human,2018.03.13
58,5,파랑새,에이프릴(APRIL),에이프릴(APRIL) 5th Mini Album `The Blue`,2018.03.12
59,337,뭐랬어 (Feat. PUNCHNELLO),김성규,1st Album `10 Stories`,2018.02.26
60,335,지워지는 날들,김성규,1st Album `10 Stories`,2018.02.26
61,8,Thunder,Imagine Dragons,Evolve,2018.02.22
62,379,결혼,문문(MoonMoon),이번 생은 처음이라 OST Part 4,2017.10.24
63,341,Till Sunrise (Feat. JW of NELL),김성규,1st Album `10 Stories`,2018.02.26
64,6,잘가라,홍진영,잘가라,2018.02.07
65,369,WHERE YOU AT,뉴이스트 W,"W, HERE",2017.10.10
66,343,Sorry,김성규,1st Album `10 Stories`,2018.02.26
67,7,Revenue (Feat. Hash Swan),Junoflo(주노플로),Only Human,2018.03.13
68,9,폰서트,10cm,4.0,2017.09.01
69,331,Sentimental,김성규,1st Album `10 Stories`,2018.02.26
70,359,위로,양요섭,YANG YOSEOP 2ND MINI ALBUM `白`,2018.02.19
71,332,거울,김성규,1st Album `10 Stories`,2018.02.26
72,334,천사의 도시,김성규,1st Album `10 Stories`,2018.02.26
73,407,Rude Boy,마마무(Mamamoo),Yellow Flower,2018.03.07
74,419,Thinking Out Loud,Ed Sheeran,X (Deluxe Edition),2014.06.24
75,394,She`s gone,정일훈,Big wave,2018.03.08
76,495,아름다워,창모(CHANGMO),돈 벌 시간 2,2016.07.21
77,405,봄타,마마무(Mamamoo),Yellow Flower,2018.03.07
78,395,에라 모르겠다,BIGBANG,MADE,2016.12.13
79,449,안되나용  (Feat. 휘성(Realslow)),김영철,안되나용...(부재: 화양사거리),2018.02.17
80,403,덤덤해지네 (Solo 화사),마마무(Mamamoo),Yellow Flower,2018.03.07
81,404,사랑은 아프다,이승철,미스티 (JTBC 금토드라마) OST - Part 1,2018.02.17
82,448,짙어져,멜로망스(Melomance),Yellow OST Part 2,2017.10.15
83,3,Make You Feel My Love,Adele,19,2008.01.27
84,420,You,김상민,Face,2001.05.14
85,592,Madeleine Love,치즈(CHEEZE),CHEEZE 1.5집 PLAIN,2015.05.13
86,20,way2gone,Junoflo(주노플로),Only Human,2018.03.13
87,573,TOMBOY,혁오 (HYUKOH),23,2017.04.24
88,559,All The Stars,Kendrick Lamar,블랙팬서 더 앨범 (Black Panther The Album Music From And Inspired By),2018.02.09
89,19,Love Letter,장덕철,투유 프로젝트 - 슈가맨2 Part 8,2018.03.12
90,6,"ONE SHOT, TWO SHOT",보아 (BoA),"ONE SHOT, TWO SHOT - The 1st Mini Album",2018.02.20
91,825,Love Blossom (러브블러썸),케이윌,The 3rd Album Part 2 `Love Blossom (러브블러썸)`,2013.04.04
92,624,오늘,오왠(O.WHEN),When I Begin,2016.05.24
93,7,Call You Mine (Feat. Geologic of The Bl ..,Jeff Bernat,The Gentleman Approach,2012.05.22
94,10,The Boots,구구단 (gugudan),Act.4 Cait Sith,2018.02.01
95,24,이쁘다니까,에디킴,도깨비 OST Part 5,2016.12.24
96,1,La La La,위키미키(Weki Meki),Lucky,2018.02.21
97,6,Everything Has Changed (Feat. Ed Sheera ..,Taylor Swift,Red (International Ver.),2013.05.14
98,11,이럴거면 그러지말지 (Feat. Young K),백아연,이럴거면 그러지말지,2015.05.20
99,495,칠해줘,마마무(Mamamoo),Yellow Flower,2018.03.07
100,28,소주 한 잔,임창정,Bye,2003.06.05
